1DFFTWR 32
1DFFTWR 64
1DFFTWR 128
1DFFTWR 256
1DFFTWR 512
2DMKLC 32
2DMKLC 64
2DMKLC 128
2DMKLC 256
2DMKLC 512
3DFFTWC 32
3DFFTWC 64
3DFFTWC 128
3DFFTWC 256
3DFFTWC 512
2DFFTWR 32
2DFFTWR 64
2DFFTWR 128
2DFFTWR 256
2DFFTWR 512
1DMKLR 32
1DMKLR 64
1DMKLR 128
1DMKLR 256
1DMKLR 512
3DMKLC 32
3DMKLC 64
3DMKLC 128
3DMKLC 256
3DMKLC 512
1DGSLR 32
1DGSLR 64
1DGSLR 128
1DGSLR 256
1DGSLR 512
1DFFTPACKR 32
1DFFTPACKR 64
1DFFTPACKR 128
1DFFTPACKR 256
1DFFTPACKR 512
1DFFTWC 32
1DFFTWC 64
1DFFTWC 128
1DFFTWC 256
1DFFTWC 512
2DMKLR 32
2DMKLR 64
2DMKLR 128
2DMKLR 256
2DMKLR 512
3DFFTWR 32
3DFFTWR 64
3DFFTWR 128
3DFFTWR 256
3DFFTWR 512
1DMKLC 32
1DMKLC 64
1DMKLC 128
1DMKLC 256
1DMKLC 512
2DFFTWC 32
2DFFTWC 64
2DFFTWC 128
2DFFTWC 256
2DFFTWC 512
1DGSLC 32
1DGSLC 64
1DGSLC 128
1DGSLC 256
1DGSLC 512
3DMKLR 32
3DMKLR 64
3DMKLR 128
3DMKLR 256
3DMKLR 512
1DFFTPACKC 32
1DFFTPACKC 64
1DFFTPACKC 128
1DFFTPACKC 256
1DFFTPACKC 512
# N 1DFFTPACKC 1DFFTPACKR 1DFFTWC 1DFFTWR 1DGSLC 1DGSLR 1DMKLC 1DMKLR 2DFFTWC 2DFFTWR 2DMKLC 2DMKLR 3DFFTWC 3DFFTWR 3DMKLC 3DMKLR 
32 1.9647e-06 1.3318e-05 6.7156e-06 1.3574e-06 1.3801e-06 2.23642e-05 1.5852e-06 1.00156e-05 2.11324e-05 1.76591e-05 2.03312e-05 2.20224e-05 0.001096366 0.0005444567 0.0005826037 0.000555924 
64 2.3582e-06 1.19073e-05 3.8673e-06 1.9506e-06 1.248e-06 2.21815e-05 2.0181e-06 1.1396e-05 7.95274e-05 7.41239e-05 6.90629e-05 5.63254e-05 0.01134562 0.004781796 0.00492682 0.003584742 
128 2.7308e-06 1.18784e-05 5.2771e-06 9.7395e-06 3.0276e-06 2.45482e-05 2.4106e-06 1.38329e-05 0.0005967317 0.0002948034 0.0002767938 0.0002071248 0.1676581 0.05268307 0.05094501 0.02980131 
256 5.6581e-06 1.13272e-05 1.00928e-05 5.4952e-06 4.0918e-06 2.59271e-05 4.1829e-06 1.6598e-05 0.002897935 0.001201807 0.001172576 0.0008388485 2.123512 0.5325982 0.5067566 0.2821865 
512 7.633e-06 1.73523e-05 1.37656e-05 7.2488e-06 9.5743e-06 2.93067e-05 7.6023e-06 1.91585e-05 0.01392429 0.00507909 0.0051795 0.003465024 39.93017 5.511995 6.347201 2.533828 
