1DFFTWR 509
1DFFTWR 257
1DFFTWR 127
1DFFTWR 61
1DFFTWR 31
2DMKLC 509
2DMKLC 257
2DMKLC 127
2DMKLC 61
2DMKLC 31
3DFFTWC 509
3DFFTWC 257
3DFFTWC 127
3DFFTWC 61
3DFFTWC 31
2DFFTWR 509
2DFFTWR 257
2DFFTWR 127
2DFFTWR 61
2DFFTWR 31
1DMKLR 509
1DMKLR 257
1DMKLR 127
1DMKLR 61
1DMKLR 31
3DMKLC 509
3DMKLC 257
3DMKLC 127
3DMKLC 61
3DMKLC 31
1DGSLR 509
1DGSLR 257
1DGSLR 127
1DGSLR 61
1DGSLR 31
1DFFTPACKR 509
1DFFTPACKR 257
1DFFTPACKR 127
1DFFTPACKR 61
1DFFTPACKR 31
1DFFTWC 509
1DFFTWC 257
1DFFTWC 127
1DFFTWC 61
1DFFTWC 31
2DMKLR 509
2DMKLR 257
2DMKLR 127
2DMKLR 61
2DMKLR 31
3DFFTWR 509
3DFFTWR 257
3DFFTWR 127
3DFFTWR 61
3DFFTWR 31
1DMKLC 509
1DMKLC 257
1DMKLC 127
1DMKLC 61
1DMKLC 31
2DFFTWC 509
2DFFTWC 257
2DFFTWC 127
2DFFTWC 61
2DFFTWC 31
1DGSLC 509
1DGSLC 257
1DGSLC 127
1DGSLC 61
1DGSLC 31
3DMKLR 509
3DMKLR 257
3DMKLR 127
3DMKLR 61
3DMKLR 31
1DFFTPACKC 509
1DFFTPACKC 257
1DFFTPACKC 127
1DFFTPACKC 61
1DFFTPACKC 31
# N 1DFFTPACKC 1DFFTPACKR 1DFFTWC 1DFFTWR 1DGSLC 1DGSLR 1DMKLC 1DMKLR 2DFFTWC 2DFFTWR 2DMKLC 2DMKLR 3DFFTWC 3DFFTWR 3DMKLC 3DMKLR 
31 1.5136e-06 4.71729e-05 2.4562e-06 1.75e-06 2.0223e-06 3.85157e-05 1.327e-06 7.9359e-06 3.57891e-05 2.75928e-05 2.53937e-05 3.25331e-05 0.001512168 0.0010008426 0.001292607 0.0009882976 
61 4.3454e-06 4.57487e-05 5.2545e-06 2.9e-06 5.17e-06 4.59719e-05 5.6678e-06 1.00458e-05 0.0003324882 0.0001840798 9.01637e-05 0.0001852213 0.03024371 0.01524421 0.01540736 0.01343165 
127 1.00717e-05 5.44182e-05 8.0763e-06 7.3699e-06 9.6603e-06 6.71158e-05 8.6399e-06 2.14636e-05 0.001488766 0.001078591 0.0006291448 0.000493528 0.2905808 0.171178 0.1061443 0.07494269 
257 1.6416e-05 9.92048e-05 1.63081e-05 1.28513e-05 1.56836e-05 0.0001497745 1.69323e-05 4.47994e-05 0.006493436 0.004574211 0.003336527 0.002695967 2.618549 1.659281 1.275801 0.8771153 
509 4.30084e-05 0.0002855617 3.09009e-05 3.18133e-05 3.43133e-05 0.0004886075 2.88419e-05 4.51436e-05 0.02915043 0.02264522 0.01151482 0.009142082 22.63416 15.9577 8.786605 6.139677 
